,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,0.39
2,20,0.0,200,4020,0.27
3,20,2.0,300,6020,0.54
4,20,-1.0,400,8020,-0.11
5,20,2.0,500,10020,0.37
6,20,0.0,600,12020,0.74
7,20,0.0,700,14020,0.32
8,20,0.0,800,16020,0.41
9,20,0.0,900,18020,0.54
10,20,2.0,1000,20020,0.62
11,20,0.0,1100,22020,0.6
12,20,1.0,1200,24020,0.83
13,20,0.0,1300,26020,0.98
14,20,2.0,1400,28020,1.12
15,20,0.0,1500,30020,1.18
16,20,2.0,1600,32020,1.07
17,20,2.0,1700,34020,1.24
18,20,0.0,1800,36020,1.35
19,20,2.0,1900,38020,1.19
20,20,2.0,2000,40020,1.41
21,20,1.0,2100,42020,1.28
22,20,1.0,2200,44020,1.49
23,20,1.0,2300,46020,1.46
24,20,2.0,2400,48020,1.5
25,20,1.0,2500,50020,1.55
26,20,2.0,2600,52020,1.57
27,20,0.0,2700,54020,1.48
28,20,2.0,2800,56020,1.74
29,20,2.0,2900,58020,1.6
30,20,2.0,3000,60020,1.7
31,20,2.0,3100,62020,1.72
32,20,2.0,3200,64020,1.7
33,20,1.0,3300,66020,1.76
34,20,1.0,3400,68020,1.74
35,20,2.0,3500,70020,1.63
36,20,2.0,3600,72020,1.72
37,20,1.0,3700,74020,1.68
38,20,2.0,3800,76020,1.72
39,20,2.0,3900,78020,1.72
40,20,2.0,4000,80020,1.7
41,20,2.0,4100,82020,1.63
42,20,0.0,4200,84020,1.64
43,20,2.0,4300,86020,1.72
44,20,2.0,4400,88020,1.77
45,20,2.0,4500,90020,1.76
46,20,2.0,4600,92020,1.62
47,20,2.0,4700,94020,1.79
48,20,2.0,4800,96020,1.71
49,20,2.0,4900,98020,1.86
50,20,2.0,5000,100020,1.76
