,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,1.0,100,2020,-0.26
2,20,-1.0,200,4020,-0.33
3,20,1.0,300,6020,-0.09
4,20,0.0,400,8020,0.31
5,20,0.0,500,10020,0.59
6,20,0.0,600,12020,0.59
7,20,0.0,700,14020,0.56
8,20,2.0,800,16020,0.58
9,20,2.0,900,18020,0.58
10,20,0.0,1000,20020,0.53
11,20,1.0,1100,22020,0.32
12,20,1.0,1200,24020,0.6
13,20,0.0,1300,26020,0.58
14,20,-1.0,1400,28020,0.43
15,20,1.0,1500,30020,0.69
16,20,1.0,1600,32020,0.75
17,20,0.0,1700,34020,0.56
18,20,2.0,1800,36020,0.53
19,20,1.0,1900,38020,0.71
20,20,1.0,2000,40020,0.7
21,20,-1.0,2100,42020,0.76
22,20,1.0,2200,44020,0.76
23,20,1.0,2300,46020,0.84
24,20,0.0,2400,48020,1.04
25,20,0.0,2500,50020,0.85
26,20,0.0,2600,52020,0.87
27,20,0.0,2700,54020,0.91
28,20,0.0,2800,56020,0.92
29,20,1.0,2900,58020,1.01
30,20,1.0,3000,60020,0.87
31,20,1.0,3100,62020,0.97
32,20,0.0,3200,64020,1.01
33,20,2.0,3300,66020,0.97
34,20,-1.0,3400,68020,0.71
35,20,1.0,3500,70020,0.88
36,20,1.0,3600,72020,0.93
37,20,1.0,3700,74020,1.06
38,20,1.0,3800,76020,0.99
39,20,2.0,3900,78020,1.06
40,20,0.0,4000,80020,0.93
41,20,2.0,4100,82020,1.08
42,20,2.0,4200,84020,0.99
43,20,1.0,4300,86020,1.19
44,20,0.0,4400,88020,1.06
45,20,0.0,4500,90020,1.08
46,20,0.0,4600,92020,1.03
47,20,2.0,4700,94020,1.13
48,20,1.0,4800,96020,1.13
49,20,2.0,4900,98020,1.27
50,20,1.0,5000,100020,1.14
