,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-1.0,100,2020,0.17
2,20,-1.0,200,4020,0.13
3,20,0.0,300,6020,0.09
4,20,-1.0,400,8020,0.46
5,20,0.0,500,10020,0.65
6,20,1.0,600,12020,0.5
7,20,1.0,700,14020,0.56
8,20,1.0,800,16020,0.54
9,20,2.0,900,18020,0.47
10,20,1.0,1000,20020,0.58
11,20,1.0,1100,22020,0.68
12,20,1.0,1200,24020,0.72
13,20,2.0,1300,26020,0.85
14,20,1.0,1400,28020,0.74
15,20,1.0,1500,30020,0.84
16,20,1.0,1600,32020,0.8
17,20,0.0,1700,34020,0.78
18,20,1.0,1800,36020,0.75
19,20,1.0,1900,38020,0.82
20,20,2.0,2000,40020,0.83
21,20,1.0,2100,42020,0.85
22,20,1.0,2200,44020,0.76
23,20,0.0,2300,46020,0.97
24,20,0.0,2400,48020,1.08
25,20,1.0,2500,50020,0.85
26,20,0.0,2600,52020,0.68
27,20,2.0,2700,54020,1.03
28,20,2.0,2800,56020,0.9
29,20,2.0,2900,58020,0.96
30,20,1.0,3000,60020,0.96
31,20,0.0,3100,62020,0.94
32,20,2.0,3200,64020,0.81
33,20,1.0,3300,66020,0.88
34,20,1.0,3400,68020,1.02
35,20,1.0,3500,70020,0.9
36,20,-1.0,3600,72020,0.86
37,20,0.0,3700,74020,0.94
38,20,-1.0,3800,76020,0.99
39,20,1.0,3900,78020,0.91
40,20,2.0,4000,80020,0.88
41,20,3.0,4100,82020,1.03
42,20,1.0,4200,84020,0.95
43,20,1.0,4300,86020,1.07
44,20,3.0,4400,88020,1.16
45,20,1.0,4500,90020,1.24
46,20,1.0,4600,92020,1.05
47,20,0.0,4700,94020,1.01
48,20,1.0,4800,96020,1.12
49,20,0.0,4900,98020,1.17
50,20,1.0,5000,100020,1.0
