,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,1.0,100,2020,0.52
2,20,-1.0,200,4020,0.38
3,20,1.0,300,6020,0.2
4,20,0.0,400,8020,0.56
5,20,0.0,500,10020,0.3
6,20,1.0,600,12020,0.44
7,20,1.0,700,14020,0.61
8,20,0.0,800,16020,0.49
9,20,1.0,900,18020,0.49
10,20,0.0,1000,20020,0.51
11,20,0.0,1100,22020,0.58
12,20,1.0,1200,24020,0.68
13,20,1.0,1300,26020,0.56
14,20,0.0,1400,28020,0.54
15,20,0.0,1500,30020,0.54
16,20,0.0,1600,32020,0.58
17,20,1.0,1700,34020,0.52
18,20,0.0,1800,36020,0.61
19,20,0.0,1900,38020,0.47
20,20,1.0,2000,40020,0.56
21,20,1.0,2100,42020,0.51
22,20,1.0,2200,44020,0.57
23,20,0.0,2300,46020,0.51
24,20,1.0,2400,48020,0.53
25,20,1.0,2500,50020,0.56
26,20,2.0,2600,52020,0.71
27,20,1.0,2700,54020,0.82
28,20,2.0,2800,56020,0.93
29,20,1.0,2900,58020,1.04
30,20,2.0,3000,60020,0.94
31,20,1.0,3100,62020,1.01
32,20,1.0,3200,64020,1.07
33,20,1.0,3300,66020,0.98
34,20,1.0,3400,68020,0.85
35,20,2.0,3500,70020,1.03
36,20,1.0,3600,72020,1.02
37,20,2.0,3700,74020,1.03
38,20,1.0,3800,76020,0.96
39,20,2.0,3900,78020,1.06
40,20,2.0,4000,80020,1.04
41,20,1.0,4100,82020,1.14
42,20,2.0,4200,84020,1.08
43,20,1.0,4300,86020,1.1
44,20,1.0,4400,88020,1.13
45,20,1.0,4500,90020,1.18
46,20,2.0,4600,92020,1.11
47,20,1.0,4700,94020,1.14
48,20,2.0,4800,96020,1.16
49,20,1.0,4900,98020,1.07
50,20,0.0,5000,100020,1.09
